model,version,year,km,color,price,location
145,1.6,1996,263000,Lacivert,95000,Ýstanbul Çekmeköy
147,1.6 TS Progression,2004,234300,Siyah,200000,Bursa Osmangazi
147,1.6 TS Distinctive,2005,297000,Siyah,224900,Nevþehir Merkez
Giulietta,1.6 JTD Distinctive,2013,200000,Kýrmýzý,379000,Kütahya Merkez
Giulietta,1.4 TB MultiAir Distinctive,2014,92000,Beyaz,637000,Sinop Boyabat
Giulietta,1.6 JTD Distinctive,2011,325000,Kýrmýzý,313000,Ankara Keçiören
GT,2.0 JTS Dis.Selespeed,2006,128000,Gri,347000,Ýstanbul Sarýyer
156,1.6 TS Progression,2004,305000,Þampanya,190000,Erzurum Palandöken
147,1.6 TS Black Line,2006,174400,Siyah,260000,Ýstanbul Beþiktaþ
146,1.6 L,1996,240000,Gri,132750,Ankara Çankaya
166,2.0 TS,2004,260250,Gri,310000,Samsun Çarþamba
147,1.6 TS Distinctive,2004,252000,Kýrmýzý,175000,Ýzmir Çiðli
156,1.6 TS Distinctive,2005,230000,Gri,257000,Ýstanbul Pendik
Giulietta,1.6 JTD Distinctive,2011,248000,Kýrmýzý,320000,Ýstanbul Silivri
146,1.4 TS,1998,228000,Mavi,136000,Adana Yüreðir
Giulietta,1.6 JTD Super TCT,2018,42000,Beyaz,697650,Samsun Tekkeköy
Giulietta,1.4 TB MultiAir Distinctive,2013,10729,Kýrmýzý,696750,Ýstanbul Sancaktepe
147,1.6 TS Distinctive,2006,216000,Siyah,245000,Ankara Sincan
Giulietta,1.4 TB MultiAir Distinctive,2015,120000,Kýrmýzý,595000,Ýstanbul Sarýyer
Giulietta,1.4 TB MultiAir Distinctive,2012,111500,Beyaz,545000,Mersin Yeniþehir
Giulietta,1.4 TB Progression Plus,2015,166000,Kýrmýzý,438000,Ýstanbul Küçükçekmece
156,1.6 TS Distinctive,2004,228000,Yeþil,230000,Kocaeli Körfez
145,1.4 TS STD,1999,315000,Kýrmýzý,108000,Ýzmir Menemen
156,1.6 TS,2001,344000,Siyah,140000,Konya Selçuklu
146,1.4 TS,2001,204000,Kýrmýzý,106500,Ýstanbul Kartal
Giulietta,1.6 JTD Distinctive,2011,166000,Beyaz,400000,Malatya Yeþilyurt
147,1.6 TS Progression,2003,236500,Kýrmýzý,186500,Ankara Yenimahalle
Giulietta,1.6 JTD Distinctive,2013,196000,Beyaz,385000,Ankara Çankaya
Giulietta,1.75 TBI Quadrifoglio Verde,2011,165000,Kýrmýzý,623000,Antalya Konyaaltý
Giulietta,1.6 JTD Progression,2016,134000,Kýrmýzý,580000,Ýzmir Urla
156,1.6 TS Distinctive,2004,286000,Gri,235000,Ýzmir Çiðli
147,1.6 TS Black Line,2007,286400,Gri,240000,Gaziantep Þahinbey
Giulietta,1.6 JTD Sprint,2020,41800,Beyaz,725000,Ýzmir Urla
Giulietta,1.4 TB MultiAir Distinctive,2013,117000,Kýrmýzý,515000,Ýstanbul Büyükçekmece
156,2.0 TS Selespeed,2002,235000,Gümüþ Gri,225000,Ýstanbul Bahçelievler
156,1.6 TS Distinctive,2004,186000,Siyah,238000,Antalya Kepez
Giulietta,1.6 JTD Distinctive,2011,203000,Siyah,359000,Ýstanbul Büyükçekmece
147,1.6 TS Distinctive,2005,257000,Kýrmýzý,184750,Ýstanbul Baðcýlar
156,1.6 TS Distinctive,2004,209000,Kýrmýzý,242000,Ýstanbul Kartal
Giulietta,1.6 JTD Super TCT,2016,155000,Beyaz,499750,Ýstanbul Avcýlar
Giulietta,1.6 JTD Progression Plus,2012,185000,Beyaz,400000,Gaziantep Þehitkamil
Giulietta,1.4 TB MultiAir Distinctive,2012,133000,Kýrmýzý,557000,Antalya Konyaaltý
Giulietta,1.6 JTD Distinctive,2011,169000,Kýrmýzý,415000,Kütahya Merkez
156,2.0 TS,1998,353000,Kýrmýzý,137500,Gaziantep Þahinbey
Giulietta,1.6 JTD Super TCT,2018,32000,Beyaz,697650,Samsun Tekkeköy
Giulietta,1.6 JTD Distinctive,2011,247000,Beyaz,392500,Bursa Osmangazi
Giulietta,1.6 JTD Progression,2016,128000,Beyaz,535000,Ýstanbul Arnavutköy
Giulietta,1.6 JTD Distinctive,2011,265000,Siyah,345750,Ýzmir Buca
Giulietta,1.6 JTD TI,2020,46000,Kýrmýzý,700000,Eskiþehir Tepebaþý
156,2.0 JTS Distinctive,2005,236000,Siyah,210000,Ýstanbul Beylikdüzü
